transaction_id,book_id,member_id,borrow_date,return_date
1,40,139,2024-03-11,2024-08-14
2,18,199,2023-11-16,2024-08-24
3,47,86,2023-08-26,2024-09-01
4,94,74,2023-09-13,2024-08-24
5,30,195,2024-02-28,2024-09-01
6,36,96,2023-08-18,2024-08-23
7,54,25,2024-07-26,2024-09-02
8,82,17,2024-02-10,2024-08-11
9,77,94,2024-06-01,2024-08-28
10,33,141,2024-02-16,2024-08-12
11,24,100,2024-01-16,2024-08-08
12,36,153,2024-02-19,2024-08-30
13,3,38,2023-11-17,2024-08-10
14,3,186,2024-07-08,2024-08-13
15,89,39,2023-10-24,2024-08-17
16,26,175,2024-06-06,2024-08-08
17,63,139,2023-10-26,2024-08-22
18,88,25,2024-06-04,2024-08-08
19,78,43,2023-11-07,2024-08-10
20,7,73,2024-07-02,2024-09-05
21,21,170,2024-02-21,2024-09-06
22,83,167,2023-12-03,2024-08-20
23,96,14,2024-07-12,2024-08-11
24,92,4,2023-11-29,2024-08-17
25,31,14,2024-03-29,2024-09-02
26,80,105,2024-03-20,2024-08-29
27,93,80,2024-06-22,2024-08-09
28,70,110,2024-04-05,2024-08-19
29,90,150,2023-09-29,2024-08-28
30,69,143,2023-10-30,2024-09-04
31,2,113,2023-08-18,2024-09-04
32,26,144,2024-06-08,2024-08-27
33,88,60,2024-07-11,2024-09-04
34,74,184,2024-01-06,2024-09-04
35,81,197,2024-07-21,2024-08-22
36,40,132,2023-11-19,2024-08-17
37,18,81,2023-11-11,2024-08-19
38,8,70,2024-07-26,2024-08-27
39,34,192,2024-01-03,2024-08-11
40,25,18,2024-05-15,2024-08-24
41,100,64,2024-02-06,2024-08-28
42,80,200,2024-04-19,2024-08-21
43,43,1,2024-04-30,2024-08-12
44,1,150,2024-07-21,2024-08-22
45,22,166,2024-07-26,2024-08-12
46,48,34,2024-04-26,2024-08-16
47,22,123,2023-10-05,2024-08-09
48,99,10,2024-07-19,2024-08-13
49,5,22,2024-06-07,2024-09-05
50,69,124,2024-03-29,2024-08-15
51,24,16,2024-05-10,2024-08-26
52,89,154,2023-10-26,2024-08-25
53,23,174,2023-11-14,2024-08-27
54,36,166,2023-11-01,2024-08-22
55,89,147,2023-11-15,2024-08-24
56,76,7,2023-10-30,2024-09-06
57,44,119,2023-10-18,2024-08-29
58,10,64,2023-08-08,2024-08-31
59,81,62,2023-09-17,2024-08-27
60,14,97,2023-09-13,2024-08-16
61,48,26,2023-10-13,2024-08-28
62,2,90,2023-08-12,2024-09-03
63,2,6,2024-01-28,2024-08-30
64,50,17,2024-04-25,2024-09-02
65,86,114,2023-09-03,2024-08-30
66,59,144,2023-10-27,2024-08-21
67,72,162,2024-03-20,2024-08-08
68,56,78,2023-11-22,2024-08-27
69,29,123,2024-05-11,2024-08-25
70,32,182,2023-09-21,2024-08-27
71,39,122,2024-06-15,2024-08-12
72,67,105,2023-12-02,2024-08-11
73,69,168,2024-05-20,2024-08-08
74,21,21,2024-04-05,2024-08-25
75,80,13,2024-03-31,2024-08-21
76,85,146,2024-03-17,2024-08-13
77,16,72,2023-09-27,2024-08-22
78,46,139,2023-10-25,2024-08-15
79,83,112,2024-02-06,2024-08-31
80,27,189,2024-01-27,2024-08-12
81,78,180,2023-10-02,2024-08-13
82,31,145,2023-09-29,2024-09-06
